Part,Cost,Link
SSD1306 OLED - display,2.5,https://www.alibaba.com/product-detail/0-96-128x64-I2C-IIC-Serial_1601221974195.html?spm=a2700.prosearch.normal_offer.d_title.713e67af2h8ats&selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=9263331f4c5146ce9335b75a9e5a434e
4 x SK6812MINI-E - lights,2.95,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4960/14302512?gclsrc=aw.ds&gad_source=1&gad_campaignid=20228387720&gbraid=0AAAAADrbLlgqid9MNTrAWhJKMXZF-C39b&gclid=CjwKCAiAzZ_NBhAEEiwAMtqKyy2T8yJqQVE5hG_iRolQtgHnV_oXdoksU0azACau9GJ1NhhwS3yk6hoCPRcQAvD_BwE
XIAO RP2040 DIP - computer,3.99,https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html
MPU 6050 - accelerometer,1.45,https://www.alibaba.com/product-detail/TZT-1Set-IIC-I2C-GY-521_1600855862949.html?spm=a2700.prosearch.normal_offer.d_title.444e67afTjlFTW&priceId=fc64e04c517543e99b5e70350475b235
3 x Cherry MX Switches - switches,0.4,https://mechanicalkeyboards.com/products/cherry-mx2a-silent-red-45g-linear?variant=48014625177900
3 x DSA Black Keycaps - keycaps (10 pack),5.8,https://thepihut.com/products/black-dsa-keycaps-for-mx-compatible-switches-10-pack
4 x M3x3mm heatset inserts,5.95,https://www.adafruit.com/product/4256
4 x M3x10mm screws - screws,3.99,https://www.amazon.com/Screws-Assortment-Machine-Washers-Phillips/dp/B0G9HDWD3K/ref=sr_1_12?crid=15VO2HWVHE0U2&dib=eyJ2IjoiMSJ9.WV9vbUoR7v5KPi58AH83sZsSA7HvHG40hEXMA8HbueS60EWGKL47-TZYQY3TXXlaLUiDxuMThePG_C0DW73KA63eM30HCJDZl3elUEXfaLVWdxwIaKEVdZeLDRrm8IMZwNt0g-c5EK8s48QIQ1roqfLd_2wHsQgpIbIy9LAY3n9HKYXzYhvnC8PRo9urp8rpHIZFLXKtcY7svDHuq47DynBfwkhPvRxjzr1DQoavsg9FY-STt1nrAQnZTKOSEv1by2L08LQVAFx4QCqLNYtsLBaGEWl_z5qazF4EEkFyGn0.bwl7yN3XZuO-iIm4WUgd6dJ_ZpySQU-Q4Z4oi7Gi01I&dib_tag=se&keywords=M3%2Bscrews&qid=1774370715&s=industrial&sprefix=m3%2Bscrew%2Cindustrial%2C140&sr=1-12&th=1
"My PCB, printed",,
My 3D printed case,,
,,
,,
Total:,27.03,